,precision,recall,f1-score,support
Delegate call Injection,0.06274546474658688,0.8576906689390712,0.11693630369746436,7041.0
Frozen Ether,0.1473903109034428,0.5950456053067993,0.23626000534990432,19296.0
Leaking Ether to arbitrary address,0.003448847620626762,0.9719626168224299,0.0068733064569427,107.0
Timestamp dependence,0.9985141158989599,0.918702150929639,0.9569468837518393,10972.0
No vulnerability,0.0,0.0,0.0,176982.0
accuracy,0.12922228752133882,0.12922228752133882,0.12922228752133882,0.12922228752133882
macro avg,0.24241974783392325,0.6686802083995879,0.2634032998512301,214398.0
weighted avg,0.06642739280596062,0.12922228752133882,0.07407988054870696,214398.0
