precision,recall,f1-score,support
0.994245659387778,0.9997375623289468,0.9969840478564307,160038.0
0.0,0.0,0.0,2.0
0.3520900321543408,0.18546224417784052,0.24295091060367935,7085.0
0.6765198927134555,0.6238149216817807,0.6490992923010938,19408.0
0.0,0.0,0.0,124.0
0.514853857211308,0.9824449117673951,0.6756374382997453,10937.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,5.0
0.37990826714397585,0.2861476238624874,0.32642860575767774,23736.0
0.8627335815231142,0.8627335815231142,0.8627335815231142,0.8627335815231142
0.3241797454012065,0.3419563626464945,0.32123336609095854,221336.0
0.8556674108954121,0.8627335815231142,0.8539592084721993,221336.0
