,precision,recall,f1-score,support
No vulnerability,0.9999943498036556,1.0,0.9999971748938467,176984.0
Delegate call Injection,0.513731343283582,0.9768695898964098,0.6733506137819728,7047.0
Frozen Ether,0.9863829787234043,0.660672643416075,0.7913226987772328,19297.0
Leaking Ether to arbitrary address,0.5073170731707317,0.9541284403669725,0.6624203821656051,109.0
Timestamp dependence,0.9990824004404478,0.9919825072886297,0.9955197951906373,10976.0
accuracy,0.9682668494914021,0.9682668494914021,0.9682668494914021,0.9682668494914021
macro avg,0.8013016290843643,0.9167306361936174,0.824522132961859,214413.0
weighted avg,0.9824904418594259,0.9682668494914021,0.970080102366493,214413.0
