precision,recall,f1-score,support
0.8957480755773268,0.9997813019407891,0.9449098366222469,160038.0
0.0,0.0,0.0,2.0
0.11363636363636363,0.0007057163020465773,0.0014027212792818067,7085.0
0.6806528062048907,0.6511232481450948,0.6655606467583083,19408.0
0.0,0.0,0.0,124.0
0.5121173165738228,0.9834506720307215,0.6735128365685661,10937.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,5.0
0.9109102646868947,0.11889113582743512,0.2103301781322203,23736.0
0.841358839050132,0.841358839050132,0.841358839050132,0.841358839050132
0.3458960918532554,0.3059946749162319,0.2773018021511804,221336.0
0.8339870014476111,0.841358839050132,0.7974628020186364,221336.0
