class,precision,recall,f1_score,support
     1, 0.00,0.00,0.00,   2
     2, 0.11,0.00,0.00,7085
     4, 0.00,0.00,0.00, 124
     6, 0.00,0.00,0.00,   1
     7, 0.00,0.00,0.00,   5
