,precision,recall,f1-score,support
No vulnerability,0.9999886996711604,1.0,0.9999943498036556,176984.0
Delegate call Injection,0.5568783068783069,0.11948346814247197,0.1967519570043229,7047.0
Frozen Ether,0.7490233981716403,0.9638285743898015,0.8429568527918783,19297.0
Leaking Ether to arbitrary address,0.5887096774193549,0.6697247706422018,0.6266094420600858,109.0
Timestamp dependence,0.9974452554744525,0.9959912536443148,0.9967177242888402,10976.0
accuracy,0.9674320120515081,0.9674320120515081,0.9674320120515081,0.9674320120515081
macro avg,0.778409067522983,0.7498056133637581,0.7326060651897566,214413.0
weighted avg,0.9624992628460798,0.9674320120515081,0.959103802502476,214413.0
