,precision,recall,f1-score,support
Delegate call Injection,0.42797986359207535,0.7486152535151257,0.5446091853076406,7041.0
Frozen Ether,0.48052702964541755,0.642620232172471,0.5498769428615774,19296.0
Leaking Ether to arbitrary address,0.0006347325660121868,0.9813084112149533,0.0012686445439222863,107.0
Timestamp dependence,0.9636045333087625,0.9531534815895005,0.9583505154639175,10972.0
No vulnerability,0.0,0.0,0.0,176982.0
accuracy,0.13168966128415377,0.13168966128415377,0.13168966128415377,0.13168966128415377
macro avg,0.37454923182245353,0.6651394756984101,0.41082105763541155,214398.0
weighted avg,0.10661663186894506,0.13168966128415377,0.11641981904609369,214398.0
