precision,recall,f1-score,support
0.982393134058972,0.9999062722603381,0.9910723409789768,160038.0
0.0,0.0,0.0,2.0
0.3643533123028391,0.09781227946365562,0.15422276621787026,7085.0
0.7090327169274537,0.513654163231657,0.5957332377196126,19408.0
0.0,0.0,0.0,124.0
0.6747572815533981,0.01270915241839627,0.02494839809746029,10937.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,5.0
0.4364414797994134,0.7773424334344455,0.559019572198994,23736.0
0.8551478295442223,0.8551478295442223,0.8551478295442223,0.8551478295442223
0.35188643607134185,0.26682492231205474,0.25833292391254603,221336.0
0.8643048484168494,0.8551478295442223,0.8349551969748101,221336.0
