,precision,recall,f1-score,support
Delegate call Injection,0.11335214114278495,0.7646641102116176,0.19743669667577332,7041.0
Frozen Ether,0.12899430406192958,0.6079498341625207,0.21283042145176798,19296.0
Leaking Ether to arbitrary address,0.001199659843284942,0.7383177570093458,0.002395427462514592,107.0
Timestamp dependence,0.9967346131011281,0.9180641633248269,0.9557832811462189,10972.0
No vulnerability,0.0,0.0,0.0,176982.0
accuracy,0.1271793580163994,0.1271793580163994,0.1271793580163994,0.1271793580163994
macro avg,0.2480561436298255,0.6057991729416622,0.27368916534725496,214398.0
weighted avg,0.06634150997450605,0.1271793580163994,0.07455311180655715,214398.0
