,precision,recall,f1-score,support
No vulnerability,1.0,1.0,1.0,176984.0
Delegate call Injection,0.5143129072406472,0.9968781041577977,0.6785472809813581,7047.0
Frozen Ether,0.9971595392141391,0.6549204539565736,0.7905914735228801,19297.0
Leaking Ether to arbitrary address,0.6407185628742516,0.981651376146789,0.7753623188405797,109.0
Timestamp dependence,0.9993595022417422,0.9950801749271136,0.9972152476603514,10976.0
accuracy,0.9685793305443233,0.9685793305443233,0.9685793305443233,0.9685793305443233
macro avg,0.8303101023141561,0.9257060218376548,0.8483432642010339,214413.0
weighted avg,0.9835661032936376,0.9685793305443233,0.9703316282348564,214413.0
