,precision,recall,f1-score,support
Timestamp dependence,0.9971328153903071,0.9959353348729792,0.9965337153949254,10825.0
Outdated Solidity version,0.8195095908172215,0.9014639875833718,0.8585354160840557,23839.0
Frozen Ether,0.9997448458869157,0.9990311065782764,0.9993878487986532,19610.0
Delegatecall Injection,0.9943478875229617,0.9970246528761689,0.9956844711708526,7058.0
micro avg,0.9245149745714824,0.96033065936216,0.9420825335892513,61332.0
macro avg,0.9526837849043515,0.9733637704776991,0.9625353628621216,61332.0
weighted avg,0.9286075079904667,0.96033065936216,0.9437102974897825,61332.0
samples avg,0.9349417571957094,0.9631603222735792,0.9342724801523046,61332.0
accuracy,0.7886772455618689,0.7886772455618689,0.7886772455618689,61332.0
