,precision,recall,f1-score,support
Timestamp dependence,0.9992581602373887,0.9954734411085451,0.9973622101901986,10825.0
Outdated Solidity version,0.9162162162162162,0.7963421284449851,0.8520837541237459,23839.0
Frozen Ether,0.9991843393148451,0.9994900560938297,0.999337174323153,19610.0
Delegatecall Injection,0.9923900789177001,0.9977330688580335,0.9950544015825916,7058.0
micro avg,0.9688401813934313,0.9196178177786474,0.9435875129655035,61332.0
macro avg,0.9767621986715376,0.9472596736263483,0.9609593850549223,61332.0
weighted avg,0.9661667976572319,0.9196178177786474,0.9412601332862427,61332.0
samples avg,0.9784889255257553,0.9249320418837891,0.9379427091000089,61332.0
accuracy,0.8030441310683899,0.8030441310683899,0.8030441310683899,61332.0
