,precision,recall,f1-score,support
Timestamp dependence,1.0,0.9156581986143187,0.9559724164536818,10825.0
Outdated Solidity version,0.7124332112625322,0.9955954528293972,0.830542578692282,23839.0
Frozen Ether,1.0,0.24589495155532892,0.39472822527832346,19610.0
Delegatecall Injection,0.0,0.0,0.0,7058.0
micro avg,0.8006160506160506,0.6272092871584165,0.7033827025050284,61332.0
macro avg,0.6781083028156331,0.5392871507497612,0.5453108051060718,61332.0
weighted avg,0.7731477095690261,0.6272092871584165,0.6177578823332737,61332.0
samples avg,0.730930020313834,0.6202441585460398,0.638035936840659,61332.0
accuracy,0.46321429622869253,0.46321429622869253,0.46321429622869253,61332.0
